CCN,Facility,Street,City,State,ZIP,Transplant Program Type Code,Transplant Program Type,Original Participation Date,Effective Date,Program Recertification Date,OPTN Code,Original Program?
509800,VIRGINIA MASON MEDICAL CENTER,"1100 9TH AVE, MAILSTOP C1-TX",SEATTLE,WA,98111,APA,Adult Pancreas,9/1/1977,8/22/2008,12/9/2021,WAVM,Y
509801,SWEDISH MEDICAL CENTER TRANSPLANT SERVICES,"1101 MADISON ST, SUITE 200",SEATTLE,WA,98104,AKO,Adult Kidney Only,9/1/1977,10/28/2008,3/9/2023,WASM,Y
509801,SWEDISH MEDICAL CENTER TRANSPLANT SERVICES,"1101 MADISON ST, SUITE 200",SEATTLE,WA,98104,ALI,Adult Liver Only,9/10/2013,9/10/2013,3/9/2023,WASM,N
509801,SWEDISH MEDICAL CENTER TRANSPLANT SERVICES,"1101 MADISON ST, SUITE 200",SEATTLE,WA,98104,APA,Adult Pancreas,9/1/1977,10/28/2008,3/9/2023,WASM,Y
509802,UNIVERSITY OF WASHINGTON MEDICAL CENTER,1959 NE PACIFIC STREET,SEATTLE,WA,98195,AHL,Adult Heart Lung,2/2/1995,9/14/2009,4/13/2016,WAUW,Y
509802,UNIVERSITY OF WASHINGTON MEDICAL CENTER,1959 NE PACIFIC STREET,SEATTLE,WA,98195,AHO,Adult Heart Only,1/6/1989,9/14/2009,2/16/2022,WAUW,Y
509802,UNIVERSITY OF WASHINGTON MEDICAL CENTER,1959 NE PACIFIC STREET,SEATTLE,WA,98195,AKO,Adult Kidney Only,9/1/1977,9/14/2009,2/16/2022,WAUW,Y
509802,UNIVERSITY OF WASHINGTON MEDICAL CENTER,1959 NE PACIFIC STREET,SEATTLE,WA,98195,ALI,Adult Liver Only,5/19/1992,8/21/2009,2/16/2022,WAUW,Y
509802,UNIVERSITY OF WASHINGTON MEDICAL CENTER,1959 NE PACIFIC STREET,SEATTLE,WA,98195,ALO,Adult Lung Only,2/2/1995,8/21/2009,2/16/2022,WAUW,Y
509802,UNIVERSITY OF WASHINGTON MEDICAL CENTER,1959 NE PACIFIC STREET,SEATTLE,WA,98195,APA,Adult Pancreas,9/1/1977,9/14/2009,2/16/2022,WAUW,Y
509803,SEATTLE CHILDRENS HOSPITAL - TRANSPLANT,4800 SAND POINT WAY NE (MAIL STOP MB9-420),SEATTLE,WA,98105,PHO,Pediatric Heart Only,9/3/2009,9/3/2009,7/30/2022,WACH,N
509803,SEATTLE CHILDRENS HOSPITAL - TRANSPLANT,4800 SAND POINT WAY NE (MAIL STOP MB9-420),SEATTLE,WA,98105,PKO,Pediatric Kidney Only,9/1/1977,9/3/2009,7/30/2022,WACH,Y
509803,SEATTLE CHILDRENS HOSPITAL - TRANSPLANT,4800 SAND POINT WAY NE (MAIL STOP MB9-420),SEATTLE,WA,98105,PLI,Pediatric Liver,9/3/2009,9/3/2009,7/30/2022,WACH,N
